スライド番号,役割,テキスト
1枚目,表紙,"⚡ アジソン病（副腎皮質機能低下症）
── The Great Imitator を見逃すな
嘔吐・下痢・虚脱の裏に潜む「模倣者」"
2枚目,結論,"■ ACTH刺激後コルチゾール < 2μg/dL で確定
■ クリーゼ → デキサメタゾン + 輸液ボーラスで救命
■ 維持 = DOCP + プレドニゾロンの生涯補充
■ 適切な管理で正常な寿命を全うできる"
3枚目,アジソンを疑うサイン,"| 見逃しやすいポイント | 説明 |
|---|---|
| ストレス白血球像の欠如 | 具合悪いのにリンパ球減少・好酸球減少がない |
| Na:K比 < 27:1 | 低Na + 高K → ミネラルコルチコイド欠乏 |
| 軽度BUN/Cre上昇 | 腎疾患ではなく**腎前性高窒素血症** |
| 電解質正常でも油断禁物 | 非典型型: グルココルチコイドのみ欠乏 |
| ワクシング＆ウェイニング | 改善と悪化を繰り返す |"
4枚目,ACTH刺激試験,"■ ベースラインコルチゾール > 2μg/dL → 除外
■ コシントロピン **5μg/kg IV**
■ 1時間後コルチゾール **< 2μg/dL** → 🔴 確定
■ 1時間後コルチゾール **> 6μg/dL** → 🟢 除外

⚠️ デキサメタゾン以外のステロイドは検査前2週間投与を避ける"
5枚目,クリーゼの緊急プロトコル,"■ Step 1: 平衡晶質液 **15-30 mL/kg** ボーラス
■ Step 2: **デキサメタゾンSP 0.1 mg/kg IV** q12h
 → ACTH試験に干渉しない = 診断前でもOK
■ Step 3: 高K対応（K>7 mEq/L）
 ・10%グルコン酸Ca 1mL/kg IV（2〜5分かけて静注）
 ・レギュラーインスリン + ブドウ糖
⚠️ 低Na（<120）: 補正速度 ≤ 10-12 mEq/L/日"
6枚目,維持治療,"| 項目 | 推奨 |
|------|------|
| DOCP | **1.1-1.5 mg/kg SC/IM** q25-28日 |
| プレドニゾロン（維持） | **0.05-0.1 mg/kg/day PO** |
| ストレス時 | 通常量の**2-3倍**に増量 |
| モニタリング | 注射後10-14日と25日に電解質 |

💡 正常な寿命を全うできる"
7枚目,飼い主説明,"Q.「アジソン病って何ですか？」
A.「副腎から出るホルモンが足りなくなる病気です。元気がなくなったり嘔吐・下痢を繰り返します」

Q.「一生薬が必要ですか？」
A.「月1回の注射と毎日の少量のお薬が必要ですが、きちんと管理すれば普通の寿命を全うできます」

Q.「旅行しても大丈夫ですか？」
A.「旅行やいつもと違うイベントの前にお薬を増量してください。それだけ覚えていれば大丈夫です」"
8枚目,まとめ,"① 「The Great Imitator」→ 消化器・腎疾患と誤診されやすい
② Na:K比 < 27:1 + ストレス白血球像の欠如で疑う
③ ACTH刺激後コルチゾール < 2μg/dL で確定
④ DOCP + プレドニゾロンの生涯補充で正常寿命を全うできる"
9枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。"
10枚目,参照論文,"1. Lathan P et al., Vet Med, 2018
2. AAHA 2023 Endocrinopathies Guidelines
3. Klein SC & Peterson ME, Can Vet J, 2010
4-7. Kintzer PP, Van Lanen K, Gunn E et al.

=== キャプション（投稿文） ===
嘔吐・下痢・ぐったりで来院した犬。CBCを見ると…リンパ球減少も好酸球減少もない。この違和感に気づけますか？⚡

アジソン病は「The Great Imitator」── 消化器疾患や腎疾患に化けて見逃される内分泌の緊急疾患です。

✅ Na:K比 < 27:1 + ストレス白血球像の欠如で疑う
✅ ACTH刺激後コルチゾール < 2μg/dL で確定
✅ クリーゼはデキサメタゾン + 晶質液ボーラスで救命
✅ DOCP + プレドニゾロンで正常な寿命を全うできる

見逃さなければ救える命。ぜひ【保存】してください🔖

#獣医 #獣医師 #獣医療 #アジソン病 #内分泌 #救急 #動物病院"
