スライド番号,役割,テキスト
1枚目,表紙,"【小型犬の僧帽弁閉鎖不全症 (MMVD)】
ピモベンダン、
「いつ」から処方していますか？
〜ACVIMコンセンサス＆EPIC試験から読み解くステージ別治療〜"
2枚目,結論,"【結論】
ピモベンダンは「ステージB2（心拡大あり・無症状）」から開始！

EPIC試験において、ピモベンダン早期投与により
心不全発症/心臓死を【約15ヶ月延長】できることが証明されています。

・ステージB1は「再評価」のみで治療不要
・ステージC（心不全後）は「4剤併用」が基本"
3枚目,解説・データ（ステージ別治療）,"【ACVIM ステージ別治療フロー】

▪️A（リスク犬種・異常なし）
→ 治療不要
▪️B1（雑音あり・心拡大なし）
→ 治療不要。6〜12ヶ月毎にエコー再評価
▪️B2（雑音≧3/6・心拡大あり・無症状）
→ ピモベンダン 0.25〜0.3mg/kg BID 開始
▪️C（心不全症状あり）
→ フロセミド＋ピモベンダン＋ACE阻害薬＋スピロノラクトン
▪️D（治療抵抗性末期）
→ フロセミド増量＋ピモベンダン TID＋追加薬・集中管理"
4枚目,解説・データ（B2の判定基準）,"【エコー＆X線：ステージB2の判定基準】

以下の3項目を「すべて」満たす場合にB2と判定します。

・LA:Ao（左房/大動脈比）≧ 1.6
・LVIDdN（体重補正左室拡張末期径）≧ 1.7
・VHS（椎体心臓サイズ）> 10.5

※心雑音が大きくても、心拡大が基準未満なら「B1」として経過観察とします。"
5枚目,解説・データ（EPIC試験のエビデンス）,"【なぜB2からピモベンダン？（EPIC試験）】

・対象: B2の犬360頭（多施設RCT）
・比較: ピモベンダン群 vs プラセボ群
・結果: 心不全発症/心臓死を約15ヶ月延長
・副作用: 食欲不振が軽度増加した程度

▶︎ 2019年ACVIMコンセンサスにおける「B2でのピモベンダン推奨」の確固たる根拠です。"
6枚目,解説・データ（飼い主への説明）,"【飼い主への説明ガイド：B1〜B2】

🗣️「心雑音があるけど元気。薬は必要？」

（B1の場合）
「心雑音だけで心臓の大きさに変化がなければ薬は不要です。定期的にエコー検査をして、心臓が大きくなり始めたら薬を始めると、心不全の発症を1年以上遅らせられます。」

（B2で開始する場合）
「薬は人間の高血圧の薬と同じで、基本的に生涯続けます。飲み続けることで元気な時間が長くなります。」"
7枚目,解説・データ（ステージCの管理）,"【ステージC：心不全発症後の管理】

■ 急性期（肺水腫など）
・フロセミド 2mg/kg IV
・効果を見て適宜追加・調整

■ 安定後の慢性期（2019年コンセンサス推奨）
以下の4剤併用を基本とします。
1. フロセミド PO
2. ピモベンダン PO
3. ACE阻害薬（エナラプリル または ベナゼプリル）
4. スピロノラクトン"
8枚目,解説・データ（ホームケア指導）,"【ステージC：安静時呼吸数（SRR）のモニタリング】

心不全の早期再発発見には、自宅でのSRR測定が最も有用です。

■ 正常値: 15〜25回/分

■ 指導内容: 
「毎日、寝ている時や安静にしている時の呼吸数を数えてください。」
「持続して『30回/分』を超えたら、肺水腫の兆候かもしれないので早めに受診してください。」"
9枚目,まとめ,"【本記事の要点】

① ピモベンダンは「ステージB2（心拡大あり・無症状）」から開始（0.25〜0.3mg/kg BID）。
② B2の厳密な判定基準は【LA:Ao≧1.6、LVIDdN≧1.7、VHS>10.5】。
③ ステージC（心不全後）の基本は「フロセミド＋ピモベンダン＋ACE阻害薬＋スピロノラクトン」の4剤併用。SRRモニタリングを指導する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
小型犬の診察で避けては通れない「僧帽弁閉鎖不全症（MMVD）」。
心雑音を聴取した際、「いつからピモベンダンを始めるべきか？」と悩んだ経験はありませんか？

今回は2019年ACVIMコンセンサスと、ピモベンダン早期投与の大規模RCTである「EPIC試験」をもとに、MMVDのステージ別治療と具体的なアプローチをまとめました。

【ポイント】
・ステージB2（心拡大あり・無症状）からピモベンダンを開始
・B2の厳格なエコー＆X線判定基準（LA:Ao, LVIDdN, VHS）
・ステージC（心不全発症後）の4剤併用とモニタリング指標

日々の診療ですぐに活用できる基準値や、飼い主様への説明のコツもスライドに記載しています。

プロフィールのリンク（Note）からは、さらに詳細なエビデンスと各参照論文のリンクをご確認いただけます。診察の合間にすぐ見返せるよう、ぜひ右下のボタンから【保存】をお願いします🔖

#獣医 #動物救急 #獣医学 #動物病院 #獣医循環器 #エコー検査 #臨床獣医"
