スライド番号,役割,テキスト
1枚目,表紙,"キャバリア、ドーベルマン、大型犬…
犬種別スクリーニング
適切な時期に実施できていますか？
〜無症状期での発見と早期介入のエビデンス〜"
2枚目,結論,"【結論】犬種特異的疾患は「無症状期」に介入せよ
スクリーニングによる潜在期での発見が、生存期間延長と突然死予防に直結します。

・CKCS（MMVD）
Stage B2でのピモベンダン投与でCHF発症を約15ヶ月延長

・ドーベルマン（DCM）
ホルター＋エコーでOccult DCMを早期検出し、突然死リスクを低減

・大型犬（CHD）
幼少期のPennHIP検査で将来のOAリスクを予測・外科的予防"
3枚目,解説・データ,"CKCS（キャバリア）のMMVD ①
【疫学】
・10歳までにほぼ100%が罹患（5歳時点で約50%に心雑音）
・他犬種と比べ発症年齢が若く、進行が早い

【スクリーニング】
・1歳齢以降：毎年の聴診
・雑音（Stage B）聴取時：心エコー図検査"
4枚目,解説・データ,"CKCS（キャバリア）のMMVD ②
【Stage B2判定基準 (ACVIM 2019)】
・雑音強度 3/6以上
・LA/Ao ≥ 1.6
・LVIDDN ≥ 1.7
・VHS > 10.5

【早期介入と予後 (EPIC試験)】
・ピモベンダン 0.25〜0.3 mg/kg PO BID
・B2→C/心臓関連死までのMST：
　ピモベンダン群 1,225日 vs プラセボ群 766日（約15ヶ月延長）
※Stage C到達後のMSTは約9〜14ヶ月"
5枚目,解説・データ,"ドーベルマンのDCM ①
【疫学】
・生涯有病率 58%以上（発症ピーク: 5〜7歳、オスが早期重症化）
・全病期を通じて約30%が心臓突然死（SCD）のリスク

【スクリーニング】
・3歳齢以降：毎年のホルター心電図（24時間）＋心エコー図検査"
6枚目,解説・データ,"ドーベルマンのDCM ②
【Occult DCM診断基準 (ACVIM 2017)】
・ホルター: VPC >50回/24h または 2連続以上
・心エコー: Simpson法EF <40% または EDVI >95 mL/m²
・NT-proBNP >735 pmol/L

【早期介入と予後】
・収縮能低下時: ピモベンダン 0.25〜0.3 mg/kg PO BID
　→ MST 718日 vs 441日（約9ヶ月延長: PROTECT試験）
・不整脈頻発時: ソタロール 1.5〜3.0 mg/kg PO BID ±メキシレチン"
7枚目,解説・データ,"コーギーのDM（変性性脊髄症）
【スクリーニング】
・SOD1遺伝子変異ホモ接合体（A/A）が高リスク
・繁殖前の遺伝子検査が推奨
・臨床的推定診断: 進行性・非対称性のT3-L3脊髄障害＋MRI/CSF除外

【予後と理学療法の効果】
・後躯不全麻痺〜対麻痺まで約6〜9ヶ月
・積極的理学療法によるMST延長効果：
　集中リハビリ群 約255日 
　中等度群 約130日 
　なし群 約55日"
8枚目,解説・データ,"大型犬のCHD（股関節形成不全）
【スクリーニング】
・生後16週齢からPennHIPで評価可能
・DI（Distraction Index）>0.3 = 将来のOA発症リスク大

【早期介入・治療】
・DI >0.4: 
　生後16〜20週齢で恥骨結合早期癒合術（JPS）
　生後6〜10ヶ月でDPO/TPO
・OA進行時: ベディンベトマブ 0.5〜1.0 mg/kg SC 月1回
・重度OA: 股関節全置換術（THR）成功率90〜95%以上"
9枚目,まとめ,"要点まとめ
1. キャバリアのMMVDは1歳齢から聴診し、Stage B2基準を満たせばピモベンダンを開始する。
2. ドーベルマンのDCMは3歳から年1回のホルター＋エコーを実施し、Occult期から介入する。
3. 大型犬のCHDは生後16週からのPennHIPで評価し、リスクに応じて早期の外科的予防を検討する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
飼い主様への説明ガイド（Q&A）も掲載しています。

診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
犬種別スクリーニング、適切なタイミングで実施・提案できていますか？🐾
犬種特異的な遺伝的背景により、特定の疾患は一般集団を大幅に超える有病率を示します。

潜在期（無症状期）での発見と早期介入は、生存期間の延長や突然死の予防に直結するため、日々の一次診療における的確なスクリーニングと飼い主様への啓発が重要です。

今回は、臨床現場で遭遇しやすい代表的な4疾患（キャバリアのMMVD、ドーベルマンのDCM、コーギーのDM、大型犬のCHD）のスクリーニングプロトコルと、早期介入による予後改善のエビデンスをまとめました。

💡 詳細なエビデンス、参照論文、飼い主様への説明ガイド（Q&A）はプロフィールのリンク（Note）からご覧いただけます。
日々の診療やインフォームドコンセントですぐに見返せるように、ぜひ投稿を【保存】してください！

#獣医 #動物救急 #獣医学 #小動物臨床 #動物病院 #獣医療 #エビデンスベース"
