スライド番号,役割,テキスト
1枚目,表紙,"💊 慢性疼痛管理
── Librela/Solensia時代のマルチモーダルアプローチ
「とりあえずNSAIDs」の時代は終わった"
2枚目,結論,"■ Librela/Solensiaが肝腎負担の少ない新パラダイム
■ 単独では不十分 → マルチモーダル鎮痛が鍵
■ 体重管理 = 薬物療法と**同等かそれ以上**に重要
■ CKD猫にも条件付きでNSAIDs使用可（2024年GL）"
3枚目,昔の常識 vs 今,"| ❌ 旧来 | ✅ 最新 |
|---------|---------|
| OAにはまずNSAIDs | **抗NGF抗体薬**が肝腎負担少ない第一選択の一つ |
| CKD猫にNSAIDsは絶対禁忌 | IRIS 1-2の安定CKD猫にはモニタリング下で使用可 |
| 痛み止め＝薬のみ | **体重管理と環境調整**が同等以上に重要 |"
4枚目,抗NGF抗体薬,"| 製品名 | 対象 | 用量 | 投与間隔 | 効果発現 |
|--------|------|------|----------|----------|
| Librela | 犬 | **0.5-1.0 mg/kg** SC | 月1回 | 7-14日 |
| Solensia | 猫 | **1.0-2.8 mg/kg** SC | 月1回 | 7-14日 |

✅ 副作用率 **< 5%**（臨床試験）
✅ 肝腎代謝されない → 臓器障害例に安全"
5枚目,メリットと注意点,"🌟 メリット
 ・高い標的特異性（NGFのみ阻害）
 ・月1回投与で投薬ストレスゼロ
 ・2回目以降で効果最大化

⚠️ 注意点
 ・犬: 神経学的徴候の市販後報告あり（FDAラベル更新）
 ・猫: 稀に注射部位反応
 ・禁忌: 繁殖・妊娠・成長期
 ・**NSAIDsとの長期併用は非推奨**（RPOAリスク）"
6枚目,マルチモーダル鎮痛ステップ,"【慢性疼痛のステップ・アプローチ】

■ ベース（全例必須）
 ・**体重管理** + 環境調整

■ Step 1: 抗NGF抗体 or NSAIDs
■ Step 2: ガバペンチン追加
 ・犬 10-20 mg/kg TID
 ・猫 5-10 mg/kg TID

■ Step 2+: アマンタジン 3-5 mg/kg SID-BID
■ Step 3: 理学療法"
7枚目,CKD猫とNSAIDs（2024年GL）,"【2024 ISFM/AAFP ガイドラインのハイライト】

■ IRIS 1-2の安定CKD猫に低用量Meloxicam/Robenacoxibは使用可能
■ 長期投与前に血液・尿検査・血圧測定
■ 投与開始後2-4週 → 3-6ヶ月ごとにモニタリング
■ リスクがある場合はパルス療法を検討

💡 「CKD猫にNSAIDs絶対禁忌」は過去のもの"
8枚目,飼い主説明,"Q.「注射と飲み薬、どちらが良い？」
A.「注射は月1回で胃腎への負担が少ない。飲み薬は費用が抑えられ調整しやすい。ライフスタイルに合わせて選びましょう」

Q.「注射を打てば太っていても大丈夫？」
A.「いいえ。脂肪自体が痛みのモトを作り出しています。減量はお薬と同じくらい重要な『治療』です」"
9枚目,まとめ,"① Librela/Solensiaは肝腎負担の少ない新しい鎮痛選択肢
② マルチモーダル鎮痛（薬物＋体重管理＋環境調整＋リハビリ）がQOLを最大化
③ CKD猫にもモニタリング下でNSAIDs使用可（2024年GL）
④ 体重管理は「治療」── 脂肪そのものが炎症性サイトカインを放出"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「毎日の投薬が難しい」「腎臓が悪くてNSAIDsが使えない」── 慢性疼痛管理で悩む飼い主と臨床医に、Librela/Solensiaは新しい道を開きました💊

でも、抗体薬単独で全ての痛みをカバーできるわけではありません。今回の投稿では、抗NGF抗体薬の用量・副作用から、NSAIDs、ガバペンチン、アマンタジン、さらには体重管理・環境調整まで、「マルチモーダル鎮痛」の全体像をスライドで整理しました。

特に注目は2024年のISFM/AAFPガイドライン。CKD猫（IRIS 1-2）への低用量NSAIDs使用が条件付きで認められた点は、「CKD猫にNSAIDs絶対禁忌」を前提としてきた臨床現場に大きなインパクトです。

ぜひ【保存】して、明日の診察に役立ててください🔖

#獣医 #獣医師 #獣医療 #Librela #Solensia #OA #慢性疼痛 #動物病院"
