スライド番号,役割,テキスト
1枚目,表紙,"尿試験紙「蛋白＋」で終わらせていませんか？
〜最新IRISガイドラインに基づく蛋白尿の評価と管理〜"
2枚目,結論,"蛋白尿はCKDの「結果」ではなく「独立した進行因子」

・尿試験紙は偽陽性が多く、UPC（尿蛋白/クレアチニン比）での定量が必須。
・早期に検出・介入することで、腎機能の低下を遅らせる。
・持続的蛋白尿（犬 UPC＞0.5 / 猫 UPC＞0.4）で治療介入を推奨。
・第一選択はACE阻害薬。効果不十分ならARBを併用・代替。"
3枚目,蛋白尿の評価フロー,"① スクリーニング：尿試験紙で蛋白陽性
② UPC測定：2〜4週間あけて2回以上測定し持続性を確認
③ 腎前性・腎後性の除外：UTI、血尿等の治療後に再検
④ 原因精査・治療介入：
　 犬＞0.5 / 猫＞0.4 の場合、感染症・内分泌・腫瘍などを精査し、抗蛋白尿療法を開始
⑤ 定期モニタリングへ"
4枚目,UPCの解釈と閾値（IRIS基準）,"【治療介入の閾値】
🐶 犬：UPC ＞ 0.5（＞2.0は高度蛋白尿・糸球体疾患疑い）
🐱 猫：UPC ＞ 0.4
※0.2〜閾値未満は「境界域蛋白尿」として2〜4週後に再検。

【測定時の注意点】
・随時尿（スポット尿）で測定可能。
・膀胱穿刺（シストセンテシス）が推奨。（自然排尿は下部泌尿路からの蛋白混入リスクあり）
・尿比重が低い（希釈尿）サンプルでもUPCで確認する習慣を。"
5枚目,抗蛋白尿療法の実際,"目標：UPCの50%以上の低下、または閾値未満への到達

【ACE阻害薬（第一選択）】
・ベナゼプリル：0.5〜1mg/kg PO SID〜BID（犬猫）
・エナラプリル：0.5mg/kg PO SID〜BID（主に犬）

【ARB（ACEi不十分時 or 猫の第一選択）】
・テルミサルタン：
　🐱 猫 1〜2mg/kg PO SID（液剤で使いやすい・承認済）
　🐶 犬 1mg/kg PO SID"
6枚目,糸球体疾患の鑑別,"UPC＞2.0が持続する場合は糸球体疾患を強く疑う。
（犬でUPC＞3.5は高度な糸球体蛋白尿）

【検索すべき主な原因】
・感染症：フィラリア症、バベシア症 等
・内分泌：クッシング症候群、糖尿病
・腫瘍：リンパ腫、多発性骨髄腫
・免疫介在性：SLE、IMHA
・遺伝性：アミロイドーシス

※高度蛋白尿＋低アルブミン（＜2.0g/dL）＋高コレステロール＋浮腫/腹水 ＝「ネフローゼ症候群」"
7枚目,治療開始後のモニタリング,"ACEi / ARBによる急性腎障害や高K血症を防ぐため、慎重なフォローが必須。

・開始1〜2週間後：BUN / Cre / K / 血圧の確認
・1ヶ月後：UPC再測定。50%低下がなければ増量or併用検討
・安定後：1〜3ヶ月ごとにUPC・腎機能・血圧をモニタリング

💡 臨床Tips
ACEi開始後、Creの「軽度上昇（＜30%）」は糸球体内圧低下の反映であり許容範囲。30%以上上昇する場合は減量または中止を検討。"
8枚目,併発疾患の管理,"【高血圧の管理】
高血圧自体が蛋白尿を悪化させる（収縮期＞160mmHgで治療対象）。
猫のCKDでは約20〜60%が高血圧を合併。
ACEi / ARBで不十分ならアムロジピン（0.1〜0.25mg/kg PO SID）を追加。

【血栓塞栓症のリスク】
高度蛋白尿＋低アルブミン血症は血栓塞栓症のリスク大。
UPC＞2.0の犬では、アスピリンやクロピドグレルによる抗血栓療法の併用を検討。"
9枚目,まとめ,"本記事の要点

① 尿試験紙の蛋白陽性は、必ずUPCで定量・持続性を確認する（腎前・腎後性を除外）。
② 持続的蛋白尿（犬 UPC＞0.5 / 猫 UPC＞0.4）は腎保護のため早期に介入する。
③ 治療の第一選択はACEi / ARB。UPCの50%低下を目標に、腎機能・血圧とセットでモニタリングする。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
尿試験紙の「蛋白＋」、そのまま経過観察にしていませんか？
蛋白尿はCKD（慢性腎臓病）の結果ではなく「独立した進行因子」です。最新のIRISガイドライン2023に基づき、UPCを用いた正確な評価と早期治療介入のポイントをまとめました。

犬でUPC＞0.5、猫でUPC＞0.4の持続的蛋白尿は、ベナゼプリルやテルミサルタン等による抗蛋白尿療法の適応となります。また、UPC＞2.0の高度蛋白尿では、フィラリア症などの感染症や内分泌疾患の精査、さらに血栓塞栓症リスクへの備えも必要です。

目標は「UPCの50%以上の低下」。BUN・Cre・血圧のモニタリング時期など、明日からの診察ですぐに使える情報をスライドに凝縮しています。

詳細な解説や飼い主様への説明ガイド、参照論文へのリンクはプロフィールのNoteからご覧いただけます。ぜひ保存して日々の診療にお役立てください。

#獣医 #動物救急 #獣医療 #動物病院 #臨床獣医 #犬の腎不全 #猫の腎不全"
